label,top1,top5,precision,recall,f1,duration
lr_0001_epoch_7,19.0,46.16,0.1906760488091751,0.19,0.16413137579120937,7727.19
lr_001_epoch_20,24.2,53.36,0.22724972825025444,0.242,0.22258344370582359,10221.19
lr_0001_epoch_1,8.67,28.09,0.0650887098862484,0.0867,0.05616559060601726,7727.19
lr_001_epoch_19,23.74,52.95,0.22497761944263334,0.2374,0.2181706130392915,10221.19
lr_001_epoch_1,7.33,24.51,0.04525026644619042,0.0733,0.03965905749329322,10221.19
lr_001_epoch_10,19.77,47.77,0.19555703687487527,0.1977,0.17182277910788016,10221.19
lr_0005_epoch_17,27.16,56.47,0.2559241088600887,0.2716,0.2539089882271345,10245.81
lr_0001_epoch_5,16.47,42.44,0.1439587525963605,0.1647,0.1385927671511103,7727.19
lr_001_epoch_16,23.51,52.68,0.2212566409389216,0.2351,0.2152740116907046,10221.19
lr_0005_epoch_4,13.78,37.81,0.13461341940431298,0.1378,0.10990333255747767,10245.81
lr_0001_epoch_15,26.35,56.15,0.24847803608068944,0.2635,0.2436084119513518,7727.19
lr_001_epoch_8,18.99,46.37,0.19700351387670137,0.1899,0.17284483697714706,10221.19
lr_001_epoch_12,22.9,51.48,0.20774421144815924,0.229,0.20735619064669472,10221.19
lr_0001_epoch_14,26.15,56.03,0.24662693283503132,0.2615,0.24200134298032527,7727.19
lr_001_epoch_7,18.23,45.3,0.1762523905775014,0.1823,0.15543717847159702,10221.19
lr_0005_epoch_10,21.84,51.08,0.22476638672365692,0.2184,0.19887797665687004,10245.81
lr_0001_epoch_4,13.49,37.29,0.14093647696289108,0.1349,0.10519430304785712,7727.19
lr_001_epoch_3,13.75,38.24,0.12478368901821152,0.1375,0.10810741411843335,10221.19
lr_001_epoch_2,9.21,29.48,0.08290576980551306,0.0921,0.0685339158509429,10221.19
lr_0001_epoch_9,21.69,50.09,0.21246100641828852,0.2169,0.19160099610399742,7727.19
lr_001_epoch_15,23.56,52.28,0.21606440582507988,0.2356,0.21310492775187267,10221.19
lr_0005_epoch_6,17.07,44.59,0.159355760501951,0.1707,0.14207043926167454,10245.81
lr_0005_epoch_1,4.73,18.01,0.04156591970129063,0.0473,0.02155632202750985,10245.81
lr_0001_epoch_13,26.04,55.37,0.24140131961120978,0.2604,0.239123150587598,7727.19
lr_0001_epoch_11,25.17,54.54,0.23310282902889065,0.2517,0.2290411177604558,7727.19
lr_0005_epoch_14,26.25,56.09,0.24287226326801042,0.2625,0.24173463469194184,10245.81
lr_001_epoch_6,17.65,43.85,0.170629527515289,0.1765,0.1462327118031999,10221.19
lr_0005_epoch_16,26.73,56.43,0.2513310540056465,0.2673,0.250840958595981,10245.81
lr_0005_epoch_7,18.57,46.83,0.1769675925091598,0.1857,0.15642115708305138,10245.81
lr_001_epoch_13,23.28,51.88,0.21142443422893384,0.2328,0.210554875862199,10221.19
lr_0005_epoch_18,26.99,56.86,0.2532843026002854,0.2699,0.2515772133843525,10245.81
lr_0005_epoch_19,27.76,57.13,0.26182459332785296,0.2776,0.26131216598683843,10245.81
lr_0005_epoch_5,16.26,43.17,0.13807300297779276,0.1626,0.1314933538232468,10245.81
lr_001_epoch_18,23.6,53.19,0.22636521864697542,0.236,0.21878738819014135,10221.19
lr_001_epoch_11,22.66,51.19,0.20580262838190103,0.2266,0.20331644337490093,10221.19
lr_0001_epoch_8,20.95,48.62,0.2034758501561843,0.2095,0.18500961068568353,7727.19
lr_0001_epoch_2,10.66,32.25,0.09501416249254784,0.1066,0.082838598835977,7727.19
lr_001_epoch_5,16.39,41.79,0.18281742622262487,0.1639,0.14987291239271294,10221.19
lr_0001_epoch_12,25.81,54.98,0.24151686626566493,0.2581,0.23623541971763606,7727.19
lr_001_epoch_9,20.1,47.52,0.2006288509467345,0.201,0.17435494793159514,10221.19
lr_0005_epoch_2,8.04,25.55,0.05393524071271456,0.0804,0.04987147901863304,10245.81
lr_0001_epoch_3,11.92,35.23,0.09890946598325072,0.1192,0.08904645422224194,7727.19
lr_0005_epoch_9,21.5,49.63,0.22252121946575154,0.215,0.19642306769696594,10245.81
lr_0005_epoch_20,27.79,57.22,0.2603036361348861,0.2779,0.25832497480079947,10245.81
lr_0005_epoch_11,25.5,54.75,0.23873741900349388,0.255,0.23497924226913733,10245.81
lr_0005_epoch_12,25.83,55.45,0.23665392291715234,0.2583,0.2366841928294734,10245.81
lr_0001_epoch_10,22.57,51.02,0.21629357163626606,0.2257,0.20276131027596822,7727.19
lr_0001_epoch_6,17.3,43.86,0.16677749508220194,0.173,0.14455223209536464,7727.19
lr_0005_epoch_13,26.38,55.84,0.2449958874282615,0.2638,0.2443078416005057,10245.81
lr_0005_epoch_8,20.62,49.48,0.19249079936810903,0.2062,0.1778979833236186,10245.81
lr_001_epoch_14,23.57,52.04,0.220771970531375,0.2357,0.21591312129853313,10221.19
lr_001_epoch_17,23.92,53.2,0.21983528930625817,0.2392,0.21667671585629886,10221.19
lr_001_epoch_4,14.8,40.69,0.14848293709481858,0.148,0.12277935455307729,10221.19
lr_0005_epoch_15,26.47,56.35,0.2495158169904159,0.2647,0.24678281028057714,10245.81
lr_0005_epoch_3,10.46,31.68,0.0894062057848207,0.1046,0.07737635665013166,10245.81
