label,duration_seconds
lr_0.0005_bs_64_epochs_30_wd_0.0005_opt_sgd_autoaug,1072.62
lr_0.0005_bs_64_epochs_30_wd_0.0005_opt_sgd_autoaug,1228.7
lr_0.0005_bs_64_epochs_30_wd_0.0005_opt_adamw_autoaug,1903.2
lr_0.0005_bs_64_epochs_30_wd_0.001_opt_sgd_autoaug,1303.5
lr_0.0005_bs_64_epochs_30_wd_0.001_opt_adamw_autoaug,1667.55
lr_0.0005_bs_64_epochs_50_wd_0.0005_opt_sgd_autoaug,1429.37
lr_0.0005_bs_64_epochs_50_wd_0.0005_opt_adamw_autoaug,1659.48
lr_0.0005_bs_64_epochs_50_wd_0.001_opt_sgd_autoaug,999.33
lr_0.0005_bs_64_epochs_50_wd_0.001_opt_adamw_autoaug,2528.83
lr_0.0005_bs_128_epochs_30_wd_0.0005_opt_sgd_autoaug,1167.34
lr_0.0005_bs_128_epochs_30_wd_0.0005_opt_adamw_autoaug,1682.5
lr_0.0005_bs_128_epochs_30_wd_0.001_opt_sgd_autoaug,800.58
lr_0.0005_bs_128_epochs_30_wd_0.001_opt_adamw_autoaug,2216.29
lr_0.0005_bs_128_epochs_50_wd_0.0005_opt_sgd_autoaug,1015.89
lr_0.0005_bs_128_epochs_50_wd_0.0005_opt_adamw_autoaug,1748.63
lr_0.0005_bs_128_epochs_50_wd_0.001_opt_sgd_autoaug,1874.34
lr_0.0005_bs_128_epochs_50_wd_0.001_opt_adamw_autoaug,1884.65
lr_0.001_bs_64_epochs_30_wd_0.0005_opt_sgd_autoaug,917.45
lr_0.001_bs_64_epochs_30_wd_0.0005_opt_adamw_autoaug,2141.48
lr_0.001_bs_64_epochs_30_wd_0.001_opt_sgd_autoaug,1059.14
lr_0.001_bs_64_epochs_30_wd_0.001_opt_adamw_autoaug,2142.45
lr_0.001_bs_64_epochs_50_wd_0.0005_opt_sgd_autoaug,1200.83
lr_0.001_bs_64_epochs_50_wd_0.0005_opt_adamw_autoaug,2857.1
lr_0.001_bs_64_epochs_50_wd_0.001_opt_sgd_autoaug,848.33
lr_0.001_bs_64_epochs_50_wd_0.001_opt_adamw_autoaug,3217.99
lr_0.001_bs_128_epochs_30_wd_0.0005_opt_sgd_autoaug,1097.61
lr_0.001_bs_128_epochs_30_wd_0.0005_opt_adamw_autoaug,1572.55
lr_0.001_bs_128_epochs_30_wd_0.001_opt_sgd_autoaug,934.79
