label,top1,top5,precision,recall,f1,duration
lr_001_epoch_15,20.04,47.89,0.17423886286792645,0.2004,0.17236000105990482,12988.82
lr_0005_epoch_8,14.15,39.79,0.12536065853486797,0.1415,0.11064161428624689,12995.83
lr_0005_epoch_19,22.72,51.69,0.2049714913877895,0.2272,0.20373317077613848,12995.83
lr_0005_epoch_10,17.75,44.54,0.16639326468969884,0.1775,0.15049641322468027,12995.83
lr_001_epoch_9,15.36,41.74,0.13034864489930864,0.1536,0.1229862558913312,12988.82
lr_0001_epoch_11,35.05,65.96,0.34791312885875736,0.3505,0.3395671928678253,9718.14
lr_0005_epoch_12,21.03,49.39,0.19399516041974474,0.2103,0.1875540694797398,12995.83
lr_001_epoch_18,20.43,48.06,0.18042115114946397,0.2043,0.17714592583436967,12988.82
lr_0005_epoch_15,21.66,50.54,0.20060870567697583,0.2166,0.19285612596569243,12995.83
lr_0001_epoch_10,31.29,61.96,0.3257240433595042,0.3129,0.29763446613567324,9718.14
lr_0005_epoch_9,17.04,43.52,0.16144122878503278,0.1704,0.13797041975031527,12995.83
lr_0005_epoch_5,8.71,29.68,0.06747495312445195,0.0871,0.05794857016873799,12995.83
lr_0005_epoch_17,22.35,51.25,0.20192047458254633,0.2235,0.20033557912605543,12995.83
lr_0005_epoch_18,22.65,51.07,0.2138085375769818,0.2265,0.2041736662391148,12995.83
lr_0001_epoch_13,36.1,67.28,0.3598321085029195,0.361,0.3528891147288213,9718.14
lr_0001_epoch_1,10.51,31.64,0.09640219484642397,0.1051,0.0797897110356931,9718.14
lr_0001_epoch_15,37.01,67.99,0.36877644565874973,0.3701,0.3616595418424447,9718.14
lr_0005_epoch_16,22.08,51.01,0.20074126108545765,0.2208,0.19747962502144747,12995.83
lr_0005_epoch_7,12.84,35.53,0.10586734429202727,0.1284,0.08714992088357133,12995.83
lr_0001_epoch_6,22.74,51.65,0.25869393971103993,0.2274,0.21119319458559388,9718.14
lr_0005_epoch_4,7.28,23.74,0.03998708810990313,0.0728,0.039119257619233114,12995.83
lr_0005_epoch_3,4.05,15.5,0.018565151616451565,0.0405,0.014977455144962917,12995.83
lr_001_epoch_1,1.0,5.0,0.0001,0.01,0.000198019801980198,12988.82
lr_0001_epoch_4,20.16,47.14,0.2214847074979967,0.2016,0.17907979199083293,9718.14
lr_001_epoch_3,3.02,13.44,0.005480350801836219,0.0302,0.0068668176223987245,12988.82
lr_001_epoch_20,20.87,49.06,0.1879715269230237,0.2087,0.18138305790539094,12988.82
lr_001_epoch_5,7.68,25.28,0.04923462357172398,0.0768,0.04805199188527951,12988.82
lr_001_epoch_19,20.84,48.61,0.18173566882009287,0.2084,0.17821527077098295,12988.82
lr_001_epoch_6,11.01,32.78,0.08602970571047984,0.1101,0.07531710206407946,12988.82
lr_001_epoch_17,20.43,48.2,0.18202697710911941,0.2043,0.1763382178205169,12988.82
lr_0005_epoch_20,22.96,51.95,0.20979830246675832,0.2296,0.20692392307722116,12995.83
lr_001_epoch_2,1.0,5.0,0.0001,0.01,0.000198019801980198,12988.82
lr_0005_epoch_13,21.61,50.17,0.19762094306184416,0.2161,0.1937962635418244,12995.83
lr_0001_epoch_14,36.38,67.57,0.363244439924816,0.3638,0.3551822830123613,9718.14
lr_0005_epoch_11,20.86,48.88,0.19125769034366735,0.2086,0.1840757739496684,12995.83
lr_0001_epoch_5,21.36,49.79,0.22577845209884936,0.2136,0.19572026740498452,9718.14
lr_001_epoch_16,20.33,47.74,0.1803852490019028,0.2033,0.1761174783619064,12988.82
lr_001_epoch_12,19.51,46.74,0.1730903520186067,0.1951,0.1678128783932243,12988.82
lr_001_epoch_8,13.65,38.11,0.1290827744671666,0.1365,0.10264089712563325,12988.82
lr_0001_epoch_7,23.99,54.65,0.26703365381119915,0.2399,0.22109818653791757,9718.14
lr_001_epoch_11,19.07,46.72,0.16726352423657626,0.1907,0.16295122209859392,12988.82
lr_0005_epoch_14,21.31,50.51,0.19542148314969385,0.2131,0.19193994379973536,12995.83
lr_0001_epoch_12,35.58,66.41,0.35388677092202725,0.3558,0.3455085254195227,9718.14
lr_0001_epoch_2,16.79,43.03,0.16236468250107536,0.1679,0.13589631063347035,9718.14
lr_0005_epoch_1,1.36,5.17,0.0012859240683586884,0.0136,0.002108929651587526,12995.83
lr_0001_epoch_3,19.62,46.26,0.2213566370872757,0.1962,0.18235865841748755,9718.14
lr_0005_epoch_2,1.47,7.76,0.0005123520211428472,0.0147,0.0009820211398121404,12995.83
lr_0001_epoch_9,28.85,59.66,0.3178908202263836,0.2885,0.28069513827820675,9718.14
lr_001_epoch_7,12.42,35.8,0.10435246879310554,0.1242,0.09524698657409171,12988.82
lr_001_epoch_14,19.78,47.64,0.17105699551105935,0.1978,0.17070819318696417,12988.82
lr_0001_epoch_8,27.99,58.34,0.29669843738119905,0.2799,0.26579949854154084,9718.14
lr_001_epoch_4,5.81,20.77,0.03498977076157083,0.0581,0.02985648381533838,12988.82
lr_001_epoch_10,15.52,41.24,0.1573945707302128,0.1552,0.1254107252113495,12988.82
lr_0005_epoch_6,11.95,35.3,0.10173891932608244,0.1195,0.08961858035072477,12995.83
lr_001_epoch_13,19.74,47.21,0.17307847652250075,0.1974,0.17025595123164328,12988.82
